№,Секунда,Микросекунда
1,34,436379
2,34,447281
3,34,458275
4,34,469306
5,34,480348
6,34,491411
7,34,502372
8,34,512912
9,34,523452
10,34,534472
11,34,545473
12,34,556476
13,34,567475
14,34,577523
15,34,588550
16,34,599550
17,34,610556
18,34,620609
19,34,631610
20,34,642609
21,34,652672
22,34,663721
23,34,674707
24,34,685753
25,34,696775
26,34,707816
27,34,718848
28,34,729866
29,34,740898
30,34,751895
31,34,762923
32,34,773953
33,34,784982
34,34,795979
35,34,806984
36,34,818024
37,34,828981
38,34,839982
39,34,851013
40,34,862032
41,34,873061
42,34,883766
43,34,894813
44,34,905818
45,34,916845
46,34,927869
47,34,937919
48,34,948910
49,34,959923
50,34,970924
51,34,981960
52,34,992998
53,35,3061
54,35,14070
55,35,25095
56,35,36124
57,35,47127
58,35,58167
59,35,68222
60,35,79218
61,35,90236
62,35,101251
63,35,112254
64,35,122296
65,35,132332
66,35,143325
67,35,153417
68,35,163459
69,35,174467
70,35,185453
71,35,195525
72,35,206568
73,35,217547
74,35,228570
75,35,239566
76,35,249686
77,35,260705
78,35,271694
79,35,282696
80,35,293725
81,35,304686
82,35,315737
83,35,326689
84,35,337726
85,35,348752
86,35,359800
87,35,370821
88,35,381825
89,35,391884
90,35,401937
91,35,412951
92,35,423996
93,35,435027
94,35,446043
95,35,457037
96,35,467089
97,35,478100
98,35,488153
99,35,499158
100,35,510180
101,35,521207
102,35,532229
103,35,543240
104,35,554240
105,35,565243
106,35,576249
107,35,587278
108,35,598278
109,35,608812
110,35,619810
111,35,630804
112,35,641794
113,35,652802
114,35,662823
115,35,672845
116,35,683852
117,35,694880
118,35,705898
119,35,716903
120,35,727935
121,35,738027
122,35,749000
123,35,759991
124,35,771010
125,35,781450
126,35,792458
127,35,803488
128,35,814485
129,35,825500
130,35,836482
131,35,847477
132,35,858513
133,35,869516
134,35,880580
135,35,891570
136,35,902586
137,35,913583
138,35,923638
139,35,934672
140,35,945701
141,35,956711
142,35,967741
143,35,978762
144,35,989768
145,36,785
146,36,11762
147,36,22781
148,36,33783
149,36,44785
150,36,54867
151,36,65895
152,36,76887
153,36,87889
154,36,98906
155,36,108931
156,36,118984
157,36,129987
158,36,140027
159,36,151036
160,36,162052
161,36,173094
162,36,184139
163,36,195138
164,36,205183
165,36,216189
166,36,226256
167,36,237294
168,36,248322
169,36,259316
170,36,270350
171,36,281341
172,36,291892
173,36,302895
174,36,312982
175,36,324004
176,36,334987
177,36,346015
178,36,357019
179,36,368054
180,36,379099
181,36,389175
182,36,400173
183,36,411191
184,36,422222
185,36,432285
186,36,443270
187,36,453374
188,36,464406
189,36,475449
190,36,485515
191,36,496498
192,36,507038
193,36,517576
194,36,528572
195,36,539649
196,36,550607
197,36,561634
198,36,572637
199,36,583636
200,36,594640
201,36,605656
202,36,616683
203,36,627701
204,36,638731
205,36,649743
206,36,660731
207,36,671731
208,36,682782
209,36,693793
210,36,704826
211,36,715853
212,36,726849
213,36,736874
214,36,746919
215,36,757924
216,36,768949
217,36,779944
218,36,790950
219,36,801977
220,36,812516
221,36,823552
222,36,834546
223,36,845564
224,36,856576
225,36,867613
226,36,878620
227,36,889646
228,36,900650
229,36,911642
230,36,921671
231,36,932685
232,36,943684
233,36,954710
234,36,965709
235,36,976736
236,36,987765
237,36,998794
238,37,9811
239,37,20822
240,37,31852
241,37,42865
242,37,52903
243,37,62934
244,37,73931
245,37,84939
246,37,95934
247,37,106933
248,37,117939
249,37,128991
250,37,139942
251,37,149976
252,37,160013
253,37,170117
254,37,180628
255,37,190896
256,37,200964
257,37,211061
258,37,221569
259,37,231720
260,37,241827
261,37,252859
262,37,263625
263,37,273745
264,37,284792
265,37,295308
266,37,305360
267,37,315699
268,37,326709
269,37,336797
270,37,347848
271,37,357913
272,37,368932
273,37,379907
274,37,390926
275,37,401941
276,37,412940
277,37,422997
278,37,433063
279,37,444066
280,37,455068
281,37,466067
282,37,477066
283,37,488089
284,37,498170
285,37,509177
286,37,520167
287,37,531157
288,37,542156
289,37,553188
290,37,564195
291,37,574283
292,37,585280
293,37,596295
294,37,607322
295,37,618355
296,37,629389
297,37,640361
298,37,651354
299,37,662356
300,37,673349
